numer_sta,date,nb_niv,
07145,19961031230000,49,
p_niv,geop,t,td,dd,ff,
100000,159,mq,mq,mq,mq,
99900,mq,285.550000,284.650000,240,4.100000,
96500,mq,mq,mq,270,20.600000,
92500,796,281.750000,281.150000,275,20.100000,
88500,mq,mq,mq,280,19.000000,
85000,1478,277.550000,277.250000,285,18.500000,
80000,mq,mq,mq,295,17.500000,
78400,mq,273.550000,273.550000,mq,mq,
77200,mq,mq,mq,300,17.000000,
76600,mq,274.150000,273.550000,mq,mq,
70000,3010,271.250000,267.950000,305,18.500000,
63300,mq,267.850000,260.850000,mq,mq,
60000,mq,mq,mq,315,21.600000,
53500,mq,259.050000,253.050000,mq,mq,
50600,mq,256.250000,245.250000,mq,mq,
50000,5560,255.450000,244.450000,320,24.700000,
47000,mq,mq,mq,325,25.700000,
40000,7169,243.850000,225.850000,330,44.800000,
39400,mq,mq,mq,330,46.800000,
37600,mq,240.650000,219.650000,mq,mq,
30900,mq,mq,mq,330,45.300000,
30700,mq,227.850000,mq,mq,mq,
30000,9110,226.650000,mq,330,46.800000,
25700,mq,219.450000,mq,mq,mq,
25000,10277,218.850000,mq,325,57.100000,
24900,mq,mq,mq,325,57.100000,
20000,11660,214.250000,mq,325,37.600000,
18100,mq,214.650000,mq,mq,mq,
17400,mq,218.650000,mq,mq,mq,
16400,mq,mq,mq,330,19.500000,
15000,13455,216.650000,mq,305,19.500000,
14800,mq,mq,mq,300,19.500000,
10000,15946,211.250000,mq,305,15.400000,
9170,mq,210.050000,mq,310,14.400000,
9050,mq,mq,mq,310,14.400000,
8100,mq,mq,mq,300,5.700000,
7000,18103,212.250000,mq,295,5.700000,
6540,mq,212.650000,mq,mq,mq,
5000,20143,210.450000,mq,280,6.200000,
4820,mq,210.250000,mq,mq,mq,
3570,mq,213.050000,mq,mq,mq,
3000,23252,212.250000,mq,260,6.700000,
2590,mq,mq,mq,255,6.700000,
2560,mq,211.650000,mq,mq,mq,
2100,mq,214.250000,mq,mq,mq,
2070,mq,mq,mq,255,4.600000,
2000,25723,214.050000,mq,250,5.700000,
1950,mq,mq,mq,245,6.200000,
1930,mq,214.050000,mq,mq,mq,
