numer_sta,date,nb_niv,
07145,19960331230000,58,
p_niv,geop,t,td,dd,ff,
100000,103,mq,mq,mq,mq,
99200,mq,276.350000,272.150000,40,2.100000,
93100,mq,mq,mq,95,6.700000,
92500,719,272.250000,267.250000,95,6.700000,
87600,mq,mq,mq,55,5.100000,
86100,mq,268.050000,262.050000,mq,mq,
85000,1375,267.250000,262.250000,40,4.100000,
80000,mq,mq,mq,360,2.600000,
78900,mq,mq,mq,350,2.100000,
78700,mq,262.250000,261.050000,mq,mq,
78300,mq,265.450000,251.450000,mq,mq,
77400,mq,266.450000,249.450000,mq,mq,
75500,mq,265.850000,241.850000,mq,mq,
75200,mq,mq,mq,285,5.100000,
70000,2852,263.650000,245.650000,285,6.700000,
69500,mq,263.450000,245.450000,mq,mq,
65500,mq,260.450000,245.450000,mq,mq,
60000,mq,mq,mq,290,10.300000,
58600,mq,254.450000,232.450000,mq,mq,
55000,mq,251.250000,242.250000,mq,mq,
52300,mq,248.650000,229.650000,mq,mq,
50000,5315,246.250000,227.250000,290,14.900000,
41200,mq,235.850000,216.850000,mq,mq,
40000,6855,234.450000,226.450000,290,20.100000,
39700,mq,234.050000,228.050000,mq,mq,
31700,mq,222.050000,mq,mq,mq,
30000,8728,219.650000,mq,290,27.300000,
25000,9856,211.450000,mq,290,31.400000,
23800,mq,209.450000,mq,290,32.400000,
23500,mq,mq,mq,290,32.900000,
20000,11199,211.450000,mq,295,30.400000,
15900,mq,214.250000,mq,mq,mq,
15100,mq,mq,mq,295,25.200000,
15000,12964,213.250000,mq,295,25.200000,
10500,mq,207.450000,mq,mq,mq,
10000,15406,207.450000,mq,295,29.800000,
7000,17534,207.250000,mq,290,34.000000,
5000,19535,207.050000,mq,290,38.100000,
4930,mq,mq,mq,290,38.100000,
4770,mq,207.050000,mq,mq,mq,
3850,mq,206.650000,mq,mq,mq,
3000,22575,210.250000,mq,290,40.100000,
2810,mq,211.050000,mq,mq,mq,
2460,mq,mq,mq,285,40.600000,
2280,mq,mq,mq,280,34.500000,
2080,mq,221.850000,mq,mq,mq,
2000,25095,221.650000,mq,280,40.100000,
1810,mq,221.250000,mq,mq,mq,
1790,mq,mq,mq,280,45.300000,
1720,mq,222.850000,mq,mq,mq,
1570,mq,232.050000,mq,270,40.100000,
1290,mq,mq,mq,265,46.800000,
1180,mq,235.650000,mq,265,39.100000,
1020,mq,234.250000,mq,mq,mq,
1000,29685,234.650000,mq,mq,mq,
910,mq,236.250000,mq,mq,mq,
710,mq,247.450000,mq,mq,mq,
560,mq,249.850000,mq,mq,mq,
