numer_sta,date,nb_niv,
07145,19960731230000,62,
p_niv,geop,t,td,dd,ff,
100000,145,mq,mq,mq,mq,
99800,mq,292.150000,288.250000,260,1.000000,
98800,mq,292.750000,284.750000,mq,mq,
92500,799,288.550000,282.550000,260,4.100000,
88600,mq,mq,mq,260,5.700000,
85000,1496,283.150000,279.850000,260,7.700000,
80000,mq,mq,mq,260,9.800000,
78100,mq,277.750000,276.550000,mq,mq,
77300,mq,280.150000,275.150000,mq,mq,
75700,mq,281.350000,261.350000,mq,mq,
71200,mq,280.150000,257.150000,mq,mq,
70000,3066,279.150000,254.150000,255,15.400000,
68100,mq,mq,mq,255,16.500000,
66000,mq,275.550000,246.550000,mq,mq,
64200,mq,273.950000,263.950000,mq,mq,
61400,mq,271.250000,261.250000,mq,mq,
60000,mq,mq,mq,260,16.500000,
59400,mq,271.250000,243.250000,mq,mq,
50000,5688,263.050000,246.050000,260,17.000000,
48200,mq,261.250000,246.250000,mq,mq,
45700,mq,258.650000,239.650000,mq,mq,
43400,mq,255.450000,231.450000,mq,mq,
41500,mq,252.850000,244.850000,mq,mq,
40000,7326,250.850000,242.850000,265,17.500000,
35900,mq,mq,mq,265,17.500000,
30000,9336,234.050000,223.050000,265,21.600000,
29600,mq,233.250000,222.250000,mq,mq,
25000,10532,224.450000,mq,265,26.200000,
22700,mq,mq,mq,265,28.300000,
22400,mq,218.850000,mq,265,28.300000,
20000,11945,219.450000,mq,265,27.800000,
17600,mq,220.250000,mq,mq,mq,
17000,mq,mq,mq,265,26.800000,
15000,13749,217.050000,mq,260,21.600000,
13400,mq,214.650000,mq,260,17.000000,
12000,mq,mq,mq,255,12.300000,
10900,mq,mq,mq,275,17.500000,
10300,mq,mq,mq,255,7.700000,
10000,16250,214.650000,mq,260,10.300000,
9670,mq,mq,mq,260,13.400000,
8240,mq,214.650000,mq,mq,mq,
7790,mq,mq,mq,280,9.300000,
7590,mq,218.450000,mq,mq,mq,
7000,18456,218.050000,mq,250,8.700000,
6880,mq,mq,mq,245,8.700000,
6280,mq,217.650000,mq,mq,mq,
6070,mq,mq,mq,0,0.000000,
5000,20574,221.250000,mq,60,5.100000,
4500,mq,mq,mq,90,7.700000,
4430,mq,223.050000,mq,mq,mq,
3840,mq,mq,mq,100,2.100000,
3470,mq,mq,mq,90,9.300000,
3000,23840,223.250000,mq,100,8.200000,
2700,mq,223.250000,mq,mq,mq,
2000,26468,228.450000,mq,135,4.600000,
1850,mq,mq,mq,140,4.100000,
1760,mq,230.650000,mq,mq,mq,
1340,mq,mq,mq,45,6.700000,
1210,mq,mq,mq,95,13.400000,
1000,31087,235.050000,mq,95,12.900000,
870,mq,mq,mq,95,12.900000,
840,mq,236.450000,mq,80,12.300000,
