numer_sta,date,nb_niv,
07145,19960531230000,60,
p_niv,geop,t,td,dd,ff,
100200,mq,287.750000,283.350000,350,2.100000,
100000,180,287.750000,283.150000,350,2.100000,
95900,mq,285.350000,277.350000,mq,mq,
92500,821,283.350000,278.550000,310,5.100000,
88900,mq,mq,mq,290,6.200000,
88200,mq,280.750000,279.250000,mq,mq,
85000,1504,278.550000,277.250000,265,7.700000,
80000,mq,mq,mq,235,10.300000,
79000,mq,274.550000,273.350000,mq,mq,
78500,mq,274.950000,268.950000,mq,mq,
78000,mq,275.350000,274.750000,mq,mq,
77200,mq,mq,mq,215,11.300000,
71900,mq,273.150000,272.150000,mq,mq,
70000,3042,271.650000,270.550000,200,10.800000,
69800,mq,mq,mq,200,10.800000,
60200,mq,263.250000,261.650000,mq,mq,
60000,mq,mq,mq,225,18.500000,
59100,mq,mq,mq,230,19.500000,
52200,mq,mq,mq,220,35.500000,
50000,5590,257.250000,254.950000,215,36.500000,
46400,mq,254.850000,252.150000,mq,mq,
40000,7208,246.650000,243.450000,195,42.700000,
37800,mq,mq,mq,190,44.200000,
32200,mq,234.850000,231.050000,mq,mq,
30000,9189,231.050000,mq,200,46.300000,
26200,mq,223.850000,mq,mq,mq,
25300,mq,mq,mq,205,47.800000,
25000,10375,223.050000,mq,205,47.300000,
22700,mq,221.250000,mq,mq,mq,
20000,11778,214.850000,mq,205,35.500000,
19800,mq,214.450000,mq,205,35.000000,
18600,mq,214.450000,mq,mq,mq,
17600,mq,219.450000,mq,mq,mq,
15300,mq,214.850000,mq,205,21.600000,
15000,13572,215.450000,mq,205,20.600000,
14700,mq,mq,mq,205,19.500000,
13400,mq,mq,mq,210,24.200000,
13300,mq,218.050000,mq,mq,mq,
12600,mq,mq,mq,230,17.500000,
10500,mq,mq,mq,190,15.400000,
10000,16093,216.050000,mq,200,12.900000,
9580,mq,mq,mq,215,10.800000,
8690,mq,mq,mq,190,11.800000,
8570,mq,215.050000,mq,mq,mq,
7790,mq,mq,mq,225,10.800000,
7100,mq,mq,mq,210,4.100000,
7000,18309,218.050000,mq,205,4.100000,
6540,mq,219.250000,mq,mq,mq,
5980,mq,217.050000,mq,mq,mq,
5000,20417,218.450000,mq,140,4.600000,
4570,mq,219.250000,mq,120,4.600000,
3740,mq,220.050000,mq,mq,mq,
3690,mq,mq,mq,115,7.700000,
3370,mq,219.250000,mq,mq,mq,
3000,23634,222.250000,mq,115,7.200000,
2750,mq,224.650000,mq,mq,mq,
2280,mq,224.450000,mq,mq,mq,
2000,26252,226.450000,mq,110,6.200000,
1330,mq,mq,mq,105,5.100000,
1320,mq,232.850000,mq,mq,mq,
