numer_sta,date,nb_niv,
07145,19960630230000,35,
p_niv,geop,t,td,dd,ff,
100000,107,mq,mq,mq,mq,
99300,mq,287.550000,285.450000,250,3.100000,
98200,mq,286.750000,280.750000,mq,mq,
94700,mq,mq,mq,285,11.800000,
92500,747,282.150000,277.550000,280,12.900000,
91700,mq,281.350000,276.950000,mq,mq,
88100,mq,mq,mq,270,15.400000,
86000,mq,279.350000,276.550000,mq,mq,
85000,1430,278.750000,276.050000,260,17.000000,
83200,mq,mq,mq,255,18.000000,
80000,mq,mq,mq,260,18.000000,
79300,mq,274.950000,273.750000,mq,mq,
78400,mq,275.150000,269.150000,mq,mq,
77100,mq,277.750000,260.750000,mq,mq,
75100,mq,mq,mq,275,17.500000,
70000,2973,273.950000,252.950000,275,19.000000,
62700,mq,269.650000,242.650000,mq,mq,
60000,mq,mq,mq,270,22.600000,
51000,mq,255.650000,253.050000,mq,mq,
50000,5541,255.050000,252.350000,270,26.800000,
46200,mq,mq,mq,270,28.800000,
42900,mq,250.650000,247.150000,mq,mq,
40000,7149,247.050000,243.250000,mq,mq,
30600,mq,233.250000,228.250000,mq,mq,
30000,9140,232.450000,mq,mq,mq,
25000,10326,223.850000,mq,mq,mq,
21600,mq,217.050000,mq,mq,mq,
20000,11729,218.250000,mq,mq,mq,
16400,mq,221.250000,mq,mq,mq,
15000,13553,220.650000,mq,mq,mq,
10000,16103,218.050000,mq,mq,mq,
9120,mq,217.450000,mq,mq,mq,
7000,18338,218.650000,mq,mq,mq,
5000,20457,220.250000,mq,mq,mq,
4150,mq,221.250000,mq,mq,mq,
