numer_sta,date,nb_niv,
07145,19960131230000,53,
p_niv,geop,t,td,dd,ff,
100000,133,mq,mq,mq,mq,
99600,mq,272.850000,266.850000,100,3.100000,
95800,mq,mq,mq,130,13.900000,
93300,mq,271.450000,268.250000,mq,mq,
92500,744,275.950000,269.950000,130,14.400000,
92400,mq,276.750000,269.750000,mq,mq,
91400,mq,277.950000,266.950000,mq,mq,
88500,mq,276.550000,261.550000,mq,mq,
88000,mq,mq,mq,125,15.400000,
85000,1418,277.950000,254.950000,125,15.900000,
83500,mq,278.750000,249.750000,mq,mq,
80000,mq,mq,mq,120,16.500000,
76600,mq,275.950000,246.950000,mq,mq,
70000,2955,271.250000,243.250000,110,18.500000,
61700,mq,mq,mq,100,20.600000,
61500,mq,264.250000,238.250000,mq,mq,
60000,mq,mq,mq,100,20.600000,
50000,5482,251.250000,228.250000,100,19.000000,
47300,mq,247.850000,224.850000,mq,mq,
40000,7051,239.450000,218.450000,100,17.000000,
35300,mq,233.450000,213.450000,mq,mq,
30000,8973,225.250000,mq,100,14.900000,
25000,10130,216.250000,mq,100,13.400000,
24400,mq,mq,mq,100,13.400000,
23300,mq,212.850000,mq,mq,mq,
22100,mq,mq,mq,115,9.300000,
20100,mq,209.050000,mq,20,1.500000,
20000,11493,209.250000,mq,15,1.500000,
19700,mq,mq,mq,0,0.000000,
16900,mq,215.450000,mq,mq,mq,
15900,mq,mq,mq,305,12.300000,
15000,13259,216.050000,mq,305,12.300000,
10300,mq,218.050000,mq,mq,mq,
10000,15779,218.050000,mq,320,13.400000,
8160,mq,mq,mq,325,13.900000,
7470,mq,mq,mq,290,13.900000,
7000,18005,216.450000,mq,295,17.000000,
6240,mq,mq,mq,300,22.100000,
5000,20094,215.050000,mq,310,20.600000,
4860,mq,214.850000,mq,mq,mq,
4480,mq,mq,mq,315,20.100000,
3000,23232,215.250000,mq,315,30.900000,
2680,mq,mq,mq,315,34.000000,
2110,mq,215.450000,mq,mq,mq,
2000,25742,215.050000,mq,310,37.000000,
1000,29969,209.250000,mq,305,44.200000,
990,mq,mq,mq,305,44.200000,
950,mq,208.850000,mq,mq,mq,
670,mq,210.050000,mq,mq,mq,
630,mq,mq,mq,305,62.800000,
600,mq,214.850000,mq,mq,mq,
550,mq,mq,mq,310,60.700000,
520,mq,212.850000,mq,mq,mq,
