numer_sta,date,nb_niv,
07145,19960229230000,49,
p_niv,geop,t,td,dd,ff,
101200,mq,276.750000,273.150000,20,3.100000,
100000,256,276.150000,271.950000,20,5.700000,
97600,mq,275.150000,270.150000,mq,mq,
96900,mq,mq,mq,30,11.800000,
94800,mq,275.750000,268.750000,mq,mq,
92500,874,276.150000,259.150000,20,11.800000,
91200,mq,276.550000,247.550000,mq,mq,
89400,mq,mq,mq,20,11.800000,
88700,mq,275.550000,246.550000,mq,mq,
87300,mq,274.950000,262.950000,mq,mq,
85300,mq,274.350000,248.350000,mq,mq,
85000,1543,274.150000,248.150000,10,11.800000,
80000,mq,mq,mq,5,11.800000,
79900,mq,272.050000,245.050000,mq,mq,
76300,mq,269.450000,260.450000,mq,mq,
74500,mq,268.050000,253.050000,mq,mq,
74000,mq,mq,mq,355,11.800000,
71000,mq,266.850000,264.250000,mq,mq,
70000,3050,266.450000,263.750000,360,12.300000,
64500,mq,264.050000,260.250000,mq,mq,
60000,mq,mq,mq,10,13.900000,
50000,5560,250.650000,243.650000,25,15.900000,
41700,mq,mq,mq,40,17.500000,
40000,7129,238.650000,227.650000,40,18.500000,
36100,mq,233.250000,220.250000,mq,mq,
30000,9042,223.250000,mq,45,26.800000,
25000,10179,213.450000,mq,50,31.900000,
22900,mq,mq,mq,50,34.500000,
21700,mq,205.850000,mq,45,30.400000,
20200,mq,211.250000,mq,mq,mq,
20000,11513,211.250000,mq,35,25.200000,
18500,mq,210.450000,mq,mq,mq,
17000,mq,216.850000,mq,mq,mq,
16200,mq,mq,mq,5,10.300000,
15000,13278,216.250000,mq,360,10.800000,
10000,15789,214.250000,mq,330,12.300000,
7000,17976,212.650000,mq,300,13.900000,
6440,mq,mq,mq,295,14.400000,
5000,20015,210.850000,mq,290,16.500000,
4860,mq,210.850000,mq,mq,mq,
4600,mq,mq,mq,290,17.000000,
3000,23114,209.650000,mq,285,28.800000,
2000,25556,208.850000,mq,280,39.600000,
1600,mq,205.050000,mq,mq,mq,
1000,29646,207.650000,mq,270,58.600000,
940,mq,207.850000,mq,mq,mq,
760,mq,mq,mq,265,66.400000,
750,mq,mq,mq,265,63.800000,
740,mq,213.050000,mq,mq,mq,
