numer_sta,date,nb_niv,
07145,19960430230000,46,
p_niv,geop,t,td,dd,ff,
100000,8,mq,mq,mq,mq,
98100,mq,284.950000,275.950000,130,1.000000,
95300,mq,283.950000,270.950000,mq,mq,
94700,mq,mq,mq,135,7.200000,
93800,mq,283.550000,271.550000,mq,mq,
92500,646,282.350000,271.350000,140,7.700000,
86900,mq,mq,mq,160,8.700000,
85000,1326,275.950000,270.950000,165,9.300000,
81600,mq,272.850000,269.850000,mq,mq,
80000,mq,mq,mq,185,10.800000,
77500,mq,270.050000,269.050000,mq,mq,
75200,mq,mq,mq,205,11.800000,
70000,2834,264.450000,263.350000,200,12.900000,
64900,mq,260.250000,259.050000,mq,mq,
63600,mq,259.050000,246.050000,mq,mq,
60600,mq,257.650000,248.650000,mq,mq,
60000,mq,mq,mq,200,15.400000,
55800,mq,255.050000,241.050000,mq,mq,
50000,5315,248.850000,238.850000,200,18.500000,
40000,6874,236.450000,232.450000,195,22.600000,
30000,8767,221.450000,mq,195,27.300000,
27400,mq,mq,mq,190,28.800000,
26800,mq,215.450000,mq,195,27.800000,
25000,9905,216.650000,mq,195,24.700000,
20000,11307,220.850000,mq,210,14.900000,
19100,mq,221.650000,mq,mq,mq,
18400,mq,mq,mq,215,11.300000,
15000,13131,220.450000,mq,215,10.300000,
10900,mq,218.650000,mq,mq,mq,
10000,15691,219.050000,mq,215,7.700000,
7000,17946,220.450000,mq,220,5.100000,
5370,mq,mq,mq,220,3.600000,
5000,20074,221.850000,mq,210,4.100000,
4920,mq,222.050000,mq,mq,mq,
3000,23330,221.250000,mq,130,6.700000,
2980,mq,mq,mq,125,6.700000,
2540,mq,220.850000,mq,mq,mq,
2200,mq,mq,mq,175,6.700000,
2090,mq,224.850000,mq,mq,mq,
2080,mq,mq,mq,0,0.000000,
2000,25919,224.650000,mq,15,0.500000,
1770,mq,223.850000,mq,mq,mq,
1520,mq,mq,mq,130,5.700000,
1290,mq,mq,mq,185,4.600000,
1000,30420,229.250000,mq,185,4.600000,
890,mq,230.250000,mq,190,4.600000,
