numer_sta,date,nb_niv,
07145,19960930230000,57,
p_niv,geop,t,td,dd,ff,
100000,43,mq,mq,mq,mq,
98600,mq,287.350000,285.550000,0,0.000000,
97700,mq,288.350000,286.250000,mq,mq,
94000,mq,287.950000,284.150000,mq,mq,
92500,690,287.150000,282.550000,295,7.700000,
89300,mq,285.550000,279.550000,mq,mq,
87500,mq,mq,mq,245,14.900000,
86700,mq,284.350000,280.050000,mq,mq,
85600,mq,mq,mq,220,17.500000,
85000,1387,283.150000,280.250000,220,17.500000,
81500,mq,280.550000,279.850000,mq,mq,
80600,mq,278.950000,271.950000,mq,mq,
80200,mq,280.750000,270.750000,mq,mq,
80000,mq,mq,mq,220,18.500000,
78700,mq,279.950000,277.650000,mq,mq,
73700,mq,277.750000,275.950000,mq,mq,
70000,2949,274.950000,273.450000,220,20.600000,
61300,mq,267.650000,266.950000,mq,mq,
60000,mq,mq,mq,220,23.100000,
58900,mq,265.450000,264.550000,mq,mq,
56600,mq,264.650000,263.450000,mq,mq,
54100,mq,261.450000,260.050000,mq,mq,
51700,mq,258.450000,250.450000,mq,mq,
50000,5521,258.050000,252.050000,220,25.700000,
49700,mq,257.850000,252.850000,mq,mq,
46400,mq,254.450000,252.950000,mq,mq,
43800,mq,mq,mq,220,27.800000,
42900,mq,250.650000,243.650000,mq,mq,
40400,mq,247.650000,243.950000,mq,mq,
40000,7139,247.250000,243.550000,220,31.400000,
37700,mq,244.250000,240.550000,mq,mq,
33100,mq,236.250000,232.450000,mq,mq,
30000,9110,230.650000,mq,225,43.200000,
25000,10297,220.250000,mq,225,50.900000,
24900,mq,220.050000,mq,mq,mq,
24300,mq,mq,mq,230,52.000000,
21200,mq,220.250000,mq,mq,mq,
20000,11699,217.650000,mq,230,35.500000,
19600,mq,mq,mq,230,34.000000,
18800,mq,215.050000,mq,230,35.500000,
17900,mq,mq,mq,230,37.600000,
15000,13484,216.850000,mq,235,31.900000,
13200,mq,217.650000,mq,mq,mq,
11200,mq,212.650000,mq,mq,mq,
10000,15985,214.050000,mq,245,18.500000,
9170,mq,mq,mq,250,15.900000,
8690,mq,215.650000,mq,mq,mq,
8170,mq,212.450000,mq,255,17.500000,
7650,mq,mq,mq,255,18.000000,
7000,18182,212.650000,mq,240,17.000000,
6820,mq,mq,mq,235,17.000000,
6170,mq,mq,mq,255,24.200000,
5090,mq,mq,mq,290,8.700000,
5000,20241,212.850000,mq,285,9.300000,
4640,mq,mq,mq,260,11.300000,
4050,mq,mq,mq,270,15.900000,
4010,mq,213.050000,mq,mq,mq,
